category,product_name,podio,reviews_rating_number,reviews_amount,_source,_data_coleta,old_price,new_price,ranking_number
 Alimentos e Bebidas,Cerveja Heineken Premium Garrafa 6 Long Neck 330ml,18º MAIS VENDIDO,4.8,5410,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,40.74,3.99,18
 Alimentos e Bebidas,Espumante Branco Brut Brasileiro 750ml Salton,19º MAIS VENDIDO,4.8,2034,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,45.56,29.9,19
 Alimentos e Bebidas,Vinho Tinto Chileno Carmenere Reservado 750ml Concha Y Toro,20º MAIS VENDIDO,4.8,13677,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,39.85,24.9,20
 Bebês,Lenços Umedecidos Cuidado De Bebê 576 Unidades Pampers,11º MAIS VENDIDO,4.9,1134,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,137.9,100.91,11
 Bebês,Fralda Pampers Confort Sec G 70 Unidades,12º MAIS VENDIDO,4.9,21366,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,129.9,95.9,12
 Beleza e Cuidado Pessoal,Night Caviar Paris Elysees Edt - Perfume Masculino 100ml,10º MAIS VENDIDO,4.5,19697,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,79.74,7.0,10
 Animais,Escova A Vapor 3 Em 1 Pet Removedor Pelos Para Gatos E Cães,12º MAIS VENDIDO,4.5,1480,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,23.99,2.35,12
 Animais,Coleira Antipulgas E Carrapatos Elanco Seresto Caes E Gatos Até 8kg,13º MAIS VENDIDO,4.7,1151,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,188.02,144.12,13
 Acessórios para Veículos,Aspirador Portátil De Mão Automotivo 12 Volts Wap Car 12v2,11º MAIS VENDIDO,4.6,3877,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,138.88,104.28,11
 Acessórios para Veículos,Mini Compressor Elétrica Portátil E Multifuncional Ideal Para Pneus Bolas E Mais,12º MAIS VENDIDO,4.7,4897,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,90.79,78.99,12
 Antiguidades e Coleções,Faca Churrasco Artesanal Aço Inox Personalizada Pai Pais,11º MAIS VENDIDO,4.9,476,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,169.8,33.0,11
 Antiguidades e Coleções,Photocard Kpop Stray Kids C/ 55 Fotos Fotocard / Lomo Card,12º MAIS VENDIDO,4.8,191,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,78.9,47.34,12
 Eletrodomésticos,Ventilador Bvt400 Maxx Force 2 Em 1 150w Preto Britânia 110v,5º MAIS VENDIDO,4.7,7187,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,219.9,149.9,5
 Eletrodomésticos,Ventilador De Teto Ventisol Fenix Inverter Com Controle Estrutura Branco Pás Branco Diâmetro 960 Mm Material Das Pás Plástico Quantidade De Pás 3 127v/220v,6º MAIS VENDIDO,4.7,15250,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,339.9,299.22,6
 Construção,Filtro De Linha Iclamper Energia 5 Tomadas Dps Protetor Elétrico Cabo 1 Metro Cor Preto 127v/220v Clamper,5º MAIS VENDIDO,4.9,4404,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,69.99,60.19,5
 Construção,Transformador 5000va Vm Bivolt 110/220v E 220/110v 12000 Btus Conversor Voltagem,6º MAIS VENDIDO,4.7,8546,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,232.52,199.56,6
 Brinquedos e Hobbies,Arma De Gel Elétrica Mp5-m16-ak47 Elite + 5.000 Bolinhas,3º MAIS VENDIDO,4.7,315,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,179.9,107.94,3
 Brinquedos e Hobbies,Piscina Inflável Fun Redonda 1400l Com Kit Reparo Mor,4º MAIS VENDIDO,4.7,7793,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,279.09,198.42,4
" Casa, Móveis e Decoração",Piscina Estrutural Retangular Mor 001002 Com Capacidade De 1000 Litros 1.26x1.89 M,5º MAIS VENDIDO,4.7,16338,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,157.39,15.0,5
" Casa, Móveis e Decoração",Jogo De Lençol 400 Fios Ponto Palito Cama Queen Saldão,6º MAIS VENDIDO,4.6,10721,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,49.9,34.93,6
 Celulares e Telefones,Samsung Galaxy A15 4g Dual Sim 128 Gb Azul-claro 4 Gb Ram,4º MAIS VENDIDO,4.8,102727,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,2.215,819.14,4
 Celulares e Telefones,Samsung Galaxy A06 Dual Sim 128 Gb Verde-claro 4 Gb Ram,5º MAIS VENDIDO,4.8,8626,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,899.0,648.0,5
" Eletrônicos, Áudio e Vídeo",Roku Express 3960 Padrão Full Hd Preto Com 512mb De Memória Ram,2º MAIS VENDIDO,4.8,16625,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,239.93,207.38,2
" Calçados, Roupas e Bolsas",Short Masculino Neon Bermuda Praia Mauricinho Jr Rf. 001,4º MAIS VENDIDO,4.6,9044,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,43.88,39.49,4
" Calçados, Roupas e Bolsas",Short Modelador Lupo Original Diminui Barriga Levanta Bumbum,5º MAIS VENDIDO,4.4,20901,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,73.98,39.99,5
 Câmeras e Acessórios,Memória Sandisk Ultra 128 Gb Micro Sd Com Adaptador Incluso,2º MAIS VENDIDO,4.6,1125,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,22.71,2.23,2
 Câmeras e Acessórios,Tripé Celular Bastão Selfie Bluetooth Iunit Xt-02 Cor Preto,3º MAIS VENDIDO,4.5,1260,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,25.99,2.55,3
 Bebês,Sabonete Antibacteriano Em Barra Protex Balance 85g 6un,13º MAIS VENDIDO,4.9,1116,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,23.94,2.35,13
 Bebês,Bepantol Baby Creme Pomada De Assadura Proteção Delicada 120gr ,14º MAIS VENDIDO,4.9,1387,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,59.9,44.32,14
 Beleza e Cuidado Pessoal,Óleo Finalizador Extraordinário Tratamento Sublime Nutrição 100ml Elseve,11º MAIS VENDIDO,4.9,12167,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,52.69,31.49,11
 Beleza e Cuidado Pessoal,Óleo Capilar Argan Oil 50ml Lola Cosmetics,12º MAIS VENDIDO,4.9,9024,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,12.16,11.55,12
 Animais,Tapete Higiênico Super Secão 80x60cm 30 Unidades,14º MAIS VENDIDO,4.8,1894,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,72.49,7.11,14
 Acessórios para Veículos,Jogo Chave Combinada 12 Pçs 6 A 22mm Boca Estrela Starfer,13º MAIS VENDIDO,4.2,689,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,58.54,5.74,13
 Acessórios para Veículos,Antena Corta Pipa Moto Retrátil Anti Cerol Aço Inox Guidão,14º MAIS VENDIDO,4.6,5149,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,29.61,25.76,14
